id,sequence,segment_id,segment_name,point_name,province,city_or_area,latitude,longitude,coordinate_precision,source_level,replication_feasibility,difficulty,best_season,transport_hint,risk_note,source_note,url
OEDW-P015,15,S04,川西南雅安线,平乐古镇,Sichuan,Qianguang,30.4200,103.3140,landmark,C_chinese_media,high,easy,Year-round,雅安自驾 1 小时,"古镇内步行","Milestone 80",
OEDW-P016,16,S04,川西南雅安线,三星堆 / 广汉,Sichuan,Guanghan,30.9920,104.2820,landmark,A_official_oedw,high,easy,Year-round,成都东站高铁到广汉 30 分钟,"三星堆博物馆需预约","Milestone 80",
OEDW-P017,17,S04,川西南雅安线,绵竹,Sichuan,Mianzhu,31.3380,104.2210,city,C_chinese_media,medium,easy,Year-round,成都自驾 1.5 小时,"年画村可顺便参观","Milestone 80",
OEDW-P018,18,S05,剑门蜀道汉中线,剑门关,Sichuan,Jiange,32.2400,105.5800,landmark,A_official_oedw,high,medium,Apr-Oct,广元自驾 30 分钟,"需爬山 4-5 小时","Milestone 81 (2023-04)",
OEDW-P019,19,S05,剑门蜀道汉中线,广元,Sichuan,Guangyuan,32.4350,105.8440,city,B_partner_or_education,high,easy,Year-round,广元盘龙机场 / 高铁站,"蜀道北端起点","Milestone 81",
OEDW-P020,20,S05,剑门蜀道汉中线,汉中,Shaanxi,Hanzhong,33.0680,107.0280,city,A_official_oedw,high,easy,Year-round,汉中机场 / 高铁站,"汉文化发源地之一","Milestone 82 (2023-04)",
OEDW-P021,21,S05,剑门蜀道汉中线,秦岭北麓 / 楼观台,Shaanxi,Zhouzhi,34.0580,108.3180,region,A_official_oedw,low,medium,May-Oct,西安自驾 1 小时,"秦岭封控时期点位·2023 特殊情况","Milestone 83 (2023-06)",
OEDW-P022,22,S06,关中陕北线,西安,Shaanxi,Xi'an,34.3416,108.9398,city,A_official_oedw,high,easy,Year-round,西安咸阳国际机场 / 多高铁站,"帝都起点·人流密集","Milestone 84 (2023-07)",
OEDW-P023,23,S06,关中陕北线,宜君 / 铜川,Shaanxi,Tongchuan,35.0740,109.0810,city,B_partner_or_education,medium,medium,May-Oct,西安自驾 1.5 小时,"黄土高原过渡带","Milestone 84",
OEDW-P024,24,S06,关中陕北线,延安,Shaanxi,Yan'an,36.5853,109.4894,city,A_official_oedw,high,medium,May-Oct,延安南泥湾机场 / 高铁站,"部分遗址需预约","Milestone 85 (2023-08)",
OEDW-P025,25,S06,关中陕北线,黄河壶口瀑布方向,Shaanxi-Yun border,Yichuan,36.1560,110.4610,landmark,B_partner_or_education,medium,medium,May-Oct,延安自驾 2.5 小时,"冬季关闭","Milestone 84",
OEDW-P026,26,S07,晋西雁门关线,吕梁,Shanxi,Lvliang,37.5184,111.1436,city,A_official_oedw,high,medium,May-Oct,太原自驾 2 小时,"黄土高原城市","Milestone 86 (2023-11)",
OEDW-P027,27,S07,晋西雁门关线,忻州,Shanxi,Xinzhou,38.4167,112.7341,city,B_partner_or_education,high,easy,Year-round,太原自驾 1.5 小时,"晋北交通枢纽","Milestone 86",
OEDW-P028,28,S07,晋西雁门关线,雁门关,Shanxi,Dai County,39.1880,112.8730,landmark,A_official_oedw,high,medium,Apr-Oct,忻州自驾 1 小时,"需爬山半天","Milestone 86 / Dispatch Walled World",
OEDW-P029,29,S07,晋西雁门关线,周口店 / 田园洞,Beijing,Fangshan,39.6890,115.9260,landmark,A_official_oedw,high,easy,Apr-Oct,北京西站公交 / 地铁,"遗址博物馆需预约","Milestone 89 / Dispatch Meeting a Dawn Human",
OEDW-P030,30,S08,北京城市步行线,卢沟桥,Beijing,Fengtai,39.8490,116.2130,landmark,A_official_oedw,high,easy,Year-round,地铁 14 号线大瓦窑站,"1937 历史现场","Dispatch Rediscovering China Capital / Walking Map Mazes of Beijing",
OEDW-P031,31,S08,北京城市步行线,天安门周边,Beijing,Dongcheng,39.9054,116.3976,city,A_official_oedw,high,easy,Year-round,地铁 1 号线天安门东站,"节假日人流密集需预约","Dispatch Rediscovering China Capital",
OEDW-P032,32,S08,北京城市步行线,北京胡同 / 中轴线,Beijing,Dongcheng,39.9180,116.4070,region,A_official_oedw,medium,easy,Apr-Oct,地铁 + 步行,"胡同商业化区域","Walking Map Mazes of Beijing",
OEDW-P033,33,S08,北京城市步行线,小汤山,Beijing,Changping,40.1760,116.3870,landmark,C_chinese_media,medium,easy,Apr-Oct,地铁 5 号线转公交,"温泉度假区","Dispatch Rediscovering China Capital",
OEDW-P034,34,S09,京北长城承德线,司马台长城,Beijing,Miyun,40.6600,117.2700,landmark,A_official_oedw,medium,medium,Apr-Oct,东直门外包车 2 小时,"部分路段需手脚并用·景区分时段开放","Milestone 90 (2024-05)",
OEDW-P035,35,S09,京北长城承德线,古北口 / 密云,Beijing,Miyun,40.6320,117.1660,city,B_partner_or_education,high,easy,Apr-Oct,北京自驾 2 小时,"长城关口小镇","Dispatch Qing Roads",
OEDW-P036,36,S09,京北长城承德线,承德,Hebei,Chengde,40.9510,117.9630,city,A_official_oedw,high,easy,Apr-Oct,承德普宁机场 / 高铁站,"清代边疆秩序空间化象征","Dispatch Qing Roads",
OEDW-P037,37,S10,辽宁大连黄海线,锦州 / 辽西,Liaoning,Jinzhou,41.0950,121.1410,city,A_official_oedw,medium,medium,May-Oct,沈阳自驾 2.5 小时,"辽西走廊起点","Milestone 91-92",
OEDW-P038,38,S10,辽宁大连黄海线,沈阳,Liaoning,Shenyang,41.8057,123.4315,city,B_partner_or_education,high,easy,Year-round,沈阳桃仙国际机场,"东北中心城市","Milestone 92-93 / Dispatch Corn Corn Corn",
OEDW-P039,39,S10,辽宁大连黄海线,辽阳,Liaoning,Liaoyang,41.2680,123.1720,city,C_chinese_media,medium,easy,May-Oct,沈阳自驾 1 小时,"辽代古都","Milestone 92",
OEDW-P040,40,S10,辽宁大连黄海线,辽宁乡村粗点,Liaoning,rural,40.8900,122.7500,approximate,A_official_oedw,low,medium,May-Oct,需包车或自驾,"玉米地/工业迁移区·具体村镇辨识度低","Milestone 92-94",
OEDW-P041,41,S10,辽宁大连黄海线,大连港,Liaoning,Dalian,38.9210,121.6300,landmark,A_official_oedw,high,easy,Apr-Oct,大连周水子国际机场 / 高铁站,"2024.6 补齐大连港缺口","Milestone 94-95 / Dispatch Goodbye to China",
OEDW-P042,42,S10,辽宁大连黄海线,黄海 / 大连近海粗点,Liaoning,Dalian coast,38.9000,121.7000,approximate,A_official_oedw,reading_only,n/a,n/a,远眺·不推荐近海徒步,"主体步行 2023 冬抵近此处","Milestone 95 (2024-08)",
